variable,variable_meaning,AI_Judged_Impact,AI_Assigned_Weight
GWETTOP,The amount of water and water vapor present in the soil. Top indicates the upper 5 cm of soil. Values range from 0 for completely dry conditions to 1 for completely saturated soil.,Positive,0.02
T10M_MIN,The minimum hourly air (dry bulb) temperature at 10 meters above the surface of the earth in the period of interest.,Negative,0.03
V10M,The estimate of the northward wind average speed for winds blowing 10 meters above the surface of the earth.,Negative,0.02
TS_MAX,The maximum hourly earth skin temperature in the period of interest.,Negative,0.03
V50M,The estimate of the northward wind average speed for winds blowing 50 meters above the surface of the earth.,Negative,0.02
V2M,The estimate of the northward wind average speed for winds blowing 2 meters above the surface of the earth.,Negative,0.02
PBLTOP,The pressure at the top of the planet boundary layer.,Positive,0.01
WS50M,The average of wind speed at 50 meters above the surface of the earth.,Negative,0.02
WS50M_RANGE,The minimum and maximum hourly wind speed range at 50 meters above the surface of the earth.,Negative,0.02
T10M,The air (dry bulb) temperature at 10 meters above the surface of the earth.,Negative,0.03
U2M,The estimate of the eastward wind average speed for winds blowing 2 meters above the surface of the earth.,Negative,0.02
WS2M_MIN,The minimum hourly wind speed at 2 meters above the surface of the earth in the period of interest.,Negative,0.02
TO3,The total amount of ozone in a column extending vertically from the earth's surface to the top of the atmosphere.,Positive,0.02
TROPT,The air (dry bulb) temperature at the tropopause pressure given by TROPPB.,Negative,0.03
TS,The average temperature at the earth's surface.,Negative,0.03
T2M,The average air (dry bulb) temperature at 2 meters above the surface of the earth.,Negative,0.03
T2M_RANGE,The difference between the minimum and maximum hourly air (dry bulb) temperature at 2 meters above the surface of the earth in the period of interest.,Negative,0.03
QV2M,The ratio of the mass of water vapor to the total mass of air at 2 meters.,Positive,0.02
WD2M,The average of the wind direction at 2 meters above the surface of the earth.,Negative,0.02
QV10M,The ratio of the mass of water vapor to the total mass of air at 10 meters.,Positive,0.02
T2MDEW,The dew/frost point temperature at 2 meters above the surface of the earth.,Negative,0.03
WS10M,The average of wind speed at 10 meters above the surface of the earth.,Negative,0.02
RHOA,The air density at surface of the earth.,Positive,0.02
